commodity_name,symbol,price_text,currency,ref_period,unit,source_name,source_url,collected_at,record_id
FOOD PRICE INDEX,,61.2,INDEX_POINTS,1999-01,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-01_109
FOOD PRICE INDEX,,58.6,INDEX_POINTS,1999-02,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-02_110
FOOD PRICE INDEX,,57.2,INDEX_POINTS,1999-03,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-03_111
FOOD PRICE INDEX,,56.0,INDEX_POINTS,1999-04,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-04_112
FOOD PRICE INDEX,,55.6,INDEX_POINTS,1999-05,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-05_113
FOOD PRICE INDEX,,54.8,INDEX_POINTS,1999-06,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-06_114
FOOD PRICE INDEX,,52.8,INDEX_POINTS,1999-07,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-07_115
FOOD PRICE INDEX,,54.6,INDEX_POINTS,1999-08,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-08_116
FOOD PRICE INDEX,,54.8,INDEX_POINTS,1999-09,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-09_117
FOOD PRICE INDEX,,53.5,INDEX_POINTS,1999-10,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-10_118
FOOD PRICE INDEX,,53.5,INDEX_POINTS,1999-11,index_points,fao_food_price_index,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,2026-03-28T00:41:15.922306+00:00,FOOD PRICE INDEX_1999-11_119
